image_path,image_filename,ground_truth,predicted,confidence,correct
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001608.jpeg,IMG001608.jpeg,osteochondroma,simple bone cyst,0.21647526323795319,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000479.jpeg,IMG000479.jpeg,multiple osteochondromas,multiple osteochondromas,0.45671361684799194,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG000739.jpeg,IMG000739.jpeg,simple bone cyst,simple bone cyst,0.21780036389827728,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000951.jpeg,IMG000951.jpeg,osteochondroma,osteochondroma,0.3647353947162628,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG001612.jpeg,IMG001612.jpeg,simple bone cyst,simple bone cyst,0.52684086561203,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001845.jpeg,IMG001845.jpeg,other bt,simple bone cyst,0.33373886346817017,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000949.jpeg,IMG000949.jpeg,osteochondroma,osteochondroma,0.28543734550476074,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000122.jpeg,IMG000122.jpeg,osteosarcoma,osteosarcoma,0.46506062150001526,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\giant cell tumor\IMG001526.jpeg,IMG001526.jpeg,giant cell tumor,giant cell tumor,0.629923939704895,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG000794.jpeg,IMG000794.jpeg,simple bone cyst,osteosarcoma,0.3593766391277313,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001032.jpeg,IMG001032.jpeg,osteochondroma,osteochondroma,0.27972713112831116,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001758.jpeg,IMG001758.jpeg,other bt,other bt,0.5101606845855713,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG001460.jpeg,IMG001460.jpeg,simple bone cyst,simple bone cyst,0.24760951101779938,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001544.jpeg,IMG001544.jpeg,osteochondroma,osteochondroma,0.25138193368911743,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000431.jpeg,IMG000431.jpeg,osteochondroma,osteochondroma,0.3344188630580902,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000368.jpeg,IMG000368.jpeg,osteochondroma,simple bone cyst,0.2603572607040405,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000283.jpeg,IMG000283.jpeg,osteochondroma,simple bone cyst,0.4234735071659088,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000302.jpeg,IMG000302.jpeg,osteochondroma,osteochondroma,0.3729664385318756,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\synovial osteochondroma\IMG001131.jpeg,IMG001131.jpeg,synovial osteochondroma,osteochondroma,0.3944638967514038,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG001860.jpeg,IMG001860.jpeg,simple bone cyst,simple bone cyst,0.478549987077713,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001704.jpeg,IMG001704.jpeg,osteochondroma,osteochondroma,0.29968735575675964,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteofibroma\IMG001653.jpeg,IMG001653.jpeg,osteofibroma,osteofibroma,0.5211026668548584,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001770.jpeg,IMG001770.jpeg,other bt,osteosarcoma,0.23918738961219788,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000725.jpeg,IMG000725.jpeg,osteochondroma,osteochondroma,0.29496482014656067,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000749.jpeg,IMG000749.jpeg,osteochondroma,osteochondroma,0.3229292929172516,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG001091.jpeg,IMG001091.jpeg,multiple osteochondromas,multiple osteochondromas,0.505832850933075,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000754.jpeg,IMG000754.jpeg,osteochondroma,osteofibroma,0.27847301959991455,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG001690.jpeg,IMG001690.jpeg,osteosarcoma,osteosarcoma,0.5026088953018188,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001047.jpeg,IMG001047.jpeg,osteochondroma,osteochondroma,0.36169543862342834,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000266.jpeg,IMG000266.jpeg,osteochondroma,osteochondroma,0.3112325668334961,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other mt\IMG001865.jpeg,IMG001865.jpeg,other mt,osteosarcoma,0.31410351395606995,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001729.jpeg,IMG001729.jpeg,osteochondroma,osteochondroma,0.2459455281496048,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteofibroma\IMG001330.jpeg,IMG001330.jpeg,osteofibroma,osteofibroma,0.20339567959308624,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001012.jpeg,IMG001012.jpeg,other bt,other bt,0.5869699120521545,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001676.jpeg,IMG001676.jpeg,osteochondroma,other bt,0.5593317151069641,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000399.jpeg,IMG000399.jpeg,multiple osteochondromas,multiple osteochondromas,0.4398135542869568,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001278.jpeg,IMG001278.jpeg,osteochondroma,osteochondroma,0.43298304080963135,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG001301.jpeg,IMG001301.jpeg,multiple osteochondromas,multiple osteochondromas,0.47716498374938965,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000306.jpeg,IMG000306.jpeg,osteochondroma,multiple osteochondromas,0.2197449803352356,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000719.jpeg,IMG000719.jpeg,multiple osteochondromas,multiple osteochondromas,0.43945688009262085,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001337.jpeg,IMG001337.jpeg,osteochondroma,osteochondroma,0.30371227860450745,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000878.jpeg,IMG000878.jpeg,osteochondroma,osteochondroma,0.3846479058265686,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001782.jpeg,IMG001782.jpeg,other bt,other bt,0.24351565539836884,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other mt\IMG000032.jpeg,IMG000032.jpeg,other mt,simple bone cyst,0.5063794255256653,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\synovial osteochondroma\IMG001234.jpeg,IMG001234.jpeg,synovial osteochondroma,osteochondroma,0.3775891661643982,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG000788.jpeg,IMG000788.jpeg,other bt,simple bone cyst,0.4892406463623047,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG001143.jpeg,IMG001143.jpeg,multiple osteochondromas,multiple osteochondromas,0.44360238313674927,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG001087.jpeg,IMG001087.jpeg,multiple osteochondromas,multiple osteochondromas,0.41470056772232056,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\giant cell tumor\IMG001512.jpeg,IMG001512.jpeg,giant cell tumor,other bt,0.21149148046970367,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000192.jpeg,IMG000192.jpeg,osteosarcoma,simple bone cyst,0.29310500621795654,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000860.jpeg,IMG000860.jpeg,osteochondroma,osteochondroma,0.2606317102909088,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG000596.jpeg,IMG000596.jpeg,simple bone cyst,simple bone cyst,0.3906485140323639,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000409.jpeg,IMG000409.jpeg,osteochondroma,osteochondroma,0.27417513728141785,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001392.jpeg,IMG001392.jpeg,osteochondroma,osteochondroma,0.18993616104125977,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteofibroma\IMG000614.jpeg,IMG000614.jpeg,osteofibroma,osteofibroma,0.7423335909843445,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000816.jpeg,IMG000816.jpeg,multiple osteochondromas,multiple osteochondromas,0.4950096607208252,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000892.jpeg,IMG000892.jpeg,osteochondroma,osteochondroma,0.2620474398136139,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001783.jpeg,IMG001783.jpeg,other bt,other bt,0.48869168758392334,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG001757.jpeg,IMG001757.jpeg,other bt,simple bone cyst,0.23219355940818787,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000746.jpeg,IMG000746.jpeg,osteochondroma,osteochondroma,0.3124311864376068,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG001737.jpeg,IMG001737.jpeg,simple bone cyst,simple bone cyst,0.5086700320243835,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000971.jpeg,IMG000971.jpeg,multiple osteochondromas,osteofibroma,0.6999659538269043,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000884.jpeg,IMG000884.jpeg,osteochondroma,other bt,0.308030903339386,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\simple bone cyst\IMG000628.jpeg,IMG000628.jpeg,simple bone cyst,simple bone cyst,0.24642649292945862,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000156.jpeg,IMG000156.jpeg,osteosarcoma,giant cell tumor,0.49279749393463135,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000571.jpeg,IMG000571.jpeg,multiple osteochondromas,multiple osteochondromas,0.5040948390960693,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000140.jpeg,IMG000140.jpeg,osteosarcoma,osteosarcoma,0.3448103666305542,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other bt\IMG000821.jpeg,IMG000821.jpeg,other bt,other bt,0.6311583518981934,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000991.jpeg,IMG000991.jpeg,osteochondroma,osteochondroma,0.3912945091724396,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001450.jpeg,IMG001450.jpeg,osteochondroma,osteochondroma,0.307902991771698,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000809.jpeg,IMG000809.jpeg,osteochondroma,osteochondroma,0.2286996990442276,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001457.jpeg,IMG001457.jpeg,osteochondroma,osteochondroma,0.2663293778896332,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000505.jpeg,IMG000505.jpeg,osteochondroma,osteochondroma,0.21478749811649323,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000090.jpeg,IMG000090.jpeg,osteosarcoma,osteosarcoma,0.39175945520401,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000067.jpeg,IMG000067.jpeg,osteosarcoma,osteosarcoma,0.319232702255249,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000770.jpeg,IMG000770.jpeg,osteochondroma,osteochondroma,0.258525013923645,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\giant cell tumor\IMG000819.jpeg,IMG000819.jpeg,giant cell tumor,osteosarcoma,0.48937100172042847,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\synovial osteochondroma\IMG001221.jpeg,IMG001221.jpeg,synovial osteochondroma,synovial osteochondroma,0.6845870614051819,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG001803.jpeg,IMG001803.jpeg,multiple osteochondromas,multiple osteochondromas,0.35930296778678894,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other mt\IMG000012.jpeg,IMG000012.jpeg,other mt,other mt,0.42422792315483093,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000581.jpeg,IMG000581.jpeg,osteochondroma,osteofibroma,0.28297170996665955,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000729.jpeg,IMG000729.jpeg,osteochondroma,simple bone cyst,0.23833003640174866,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\other mt\IMG000026.jpeg,IMG000026.jpeg,other mt,simple bone cyst,0.47904086112976074,False
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000994.jpeg,IMG000994.jpeg,multiple osteochondromas,multiple osteochondromas,0.4948950707912445,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG001479.jpeg,IMG001479.jpeg,osteochondroma,osteochondroma,0.290219783782959,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteochondroma\IMG000856.jpeg,IMG000856.jpeg,osteochondroma,osteochondroma,0.2516706883907318,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\multiple osteochondromas\IMG000945.jpeg,IMG000945.jpeg,multiple osteochondromas,multiple osteochondromas,0.3893202841281891,True
c:\Users\Nauman\Desktop\vistai\FYP\BTXRD\augmented_classification_data\test\osteosarcoma\IMG000194.jpeg,IMG000194.jpeg,osteosarcoma,osteosarcoma,0.51865553855896,True
